"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"DefectosTotales",0.0997301765372179,-0.105073750550226,0.342114057683557,-0.0854072247546396,0.0978350020443316,-0.261300979003557,0.0335868468461867,-0.0456461168571893,-0.200803574260095,0.165172055780175,-0.474396547952145,-0.0626630579898158,0.277010447873101,-0.567413745546525,-0.10686809568831,-0.0301569425908698,0.10834577398367,0.024989299086586,0.0893182316697824,-0.200375487279676,-0.0279568541884135,-0.049401333310933,0.047795250887566,0.00330813991185598,0.000822461667928284,4.11372588884053e-09,3.70408390176312e-09,2.29999385392798e-17
"ASNM",-0.14098946198563,0.384583997633289,0.00353960019455857,0.0831986279611037,-0.0461726741400719,0.00698344113584611,0.125072011142646,0.0772733961078826,0.121561477995043,-0.0808588885267514,0.132303055640519,0.0434494351884043,0.148353298652667,-0.148509096818555,-0.133191063207123,0.00146904195200049,-0.45888778610297,0.225021057607004,-0.327209926692235,-0.460707968679147,0.0943491786790977,-0.315058346004777,-0.0516222287878781,0.0738825046392515,0.0464443933540973,1.69153640265704e-08,-8.02901287491041e-10,4.1483599895116e-16
"Luminosidad",-0.00943209431786089,-0.030371158451066,0.13858535634584,0.194471590620402,0.172077912131475,-0.284998683940482,0.130790694686441,-0.0893214815320925,-0.00852343851343738,-0.816837386537521,0.109996726646932,-0.186173345194683,-0.213415507231047,-0.164174089209223,0.0353498634200359,-0.0476250781874498,0.0679290065272858,-0.00189744992260726,0.0762428882928808,0.00239392200074287,0.0575994435883928,0.0400082325858023,-0.0171095133862549,-0.0076779673905777,-0.0162605745417611,-1.03005885135005e-08,-3.11185368595451e-09,-1.05621669327637e-18
"PrecTotalAvg",0.113812323586225,-0.178125374096747,0.399385157877039,-0.00122136600094533,0.0760355493063265,-0.321487896270527,-0.100191061126941,-0.0189502883233555,-0.0264717466956146,-0.00127132450596597,-0.0849145886867541,0.072182105935677,0.170468404631551,0.304365119056102,0.049314220581553,0.0896363651004494,-0.446153808469476,0.150471764691971,-0.262312029137671,0.462600201434867,0.14580999963108,-0.0410571563209182,-0.0113809710389148,0.0477734563982941,-0.0335856185386385,1.17270363995964e-08,-4.00377647018274e-09,-2.12608739914949e-17
"TminTotalAvg",0.132787670969991,-0.430198652138308,-0.0394252197598355,0.000763179103271616,0.111347072428721,-0.0794648238145372,-0.0654044633761952,0.0442455310600865,0.00645881814236222,-0.00474247882225284,-0.0250740683408519,-0.00649757662058095,-0.0536724284387066,0.26064516883721,0.0799239165104337,0.0113100811476561,0.0530846917217643,0.0331115917068086,-0.107020885447214,-0.443652894060286,-0.00078534724303487,-0.0987058188242429,-0.035186684893039,-0.0147249717649821,0.00380653059245623,0.601578240313013,0.327751264007752,4.49677085127644e-11
"TmaxTotalAvg",0.11230249244963,-0.438627825653121,-0.184426331223126,0.0338492168979361,0.0109150415491083,0.0175332132216382,0.0235579311663239,-0.0213532413449004,0.0319183837874295,-0.00251976476454027,0.108095123124947,-0.0474020690361566,0.0637527182511451,-0.0572474605106049,-0.0369259692441122,-0.00857024792281591,-0.0896101540348497,0.0382056787265268,-0.0536893156140297,-0.112606980767692,0.00901133711831903,-0.0633993756869215,-0.0149777567084968,0.0139040609694662,0.00998510496556631,-0.676045789048853,0.497949464108212,-2.66476917272206e-10
"TmeanTotalAvg",0.123677963766441,-0.446481891083171,-0.129226352816342,0.0210409589975991,0.0527328796792895,-0.0221289392418854,-0.0126251682473014,0.00522436292499181,0.0222142855619784,-0.00350415164935794,0.0558150298597677,-0.0317107265893882,0.0168374730037545,0.0727432399029073,0.0104449300090227,-0.000569917198244097,-0.0329126408913169,0.0370866700562153,-0.0771336894585522,-0.252428839665784,0.0051926995945718,-0.0796401518129068,-0.0237227786553771,0.0024234314565891,0.00768801500178191,-0.175230838600599,-0.802879524452997,1.63243740231755e-10
"DtrTotalAvg",0.0456765221184047,-0.299079219040467,-0.318771646866883,0.0673389815070313,-0.129884833461212,0.143850606590094,0.136835821942058,-0.103510359149983,0.0556666132164052,0.00138087618005039,0.252581794665608,-0.0868930083795696,0.202026577213088,-0.471302512902017,-0.183653231777874,-0.0327459210680459,-0.253460359848065,0.0319996987221319,0.0375714874842446,0.377888746667095,0.0192758399182387,0.00660964612264894,0.0177555343576999,0.0481806882107011,0.0149772940350155,0.387762640147993,-0.0031479119735294,8.24324631799007e-11
"OrientationNum",0.0180251200903514,0.0615155875008721,0.126775738619418,0.00878890626225805,-0.0804695355241564,0.307283531122291,-0.116379786608344,-0.563393267437685,-0.580758851499224,-0.0440231040922562,0.141000329085369,-0.333047089863778,0.164216028312006,0.173460765590355,-0.00323011337230748,-0.0463164679459834,-0.0574545540780431,0.0442239785707238,-0.0191591340651239,-0.107345084058753,-0.0302683606237503,-0.0129253851185038,0.00129738562764551,0.0163986275518763,-0.0124364167312625,2.63876561609139e-09,-1.64259989451787e-10,-6.70099089877077e-17
"Slope",-0.0381608598249851,0.0557761966833217,-0.0914961717105502,-0.160094871662282,0.114716846115439,-0.0235262682610211,-0.158771700381929,0.696121267698325,-0.282958967919183,-0.0717262570627482,0.143530597062579,-0.49516412863611,0.275032816554552,0.0635660582213941,-0.0326878755152496,-0.000857851194031853,0.0279072428744961,-0.00222336371982992,0.0274983618148707,0.0595356302711468,-3.50156076044366e-05,-0.0133974312087675,0.0274503588033185,0.00143609280645945,0.0123588930286405,4.23340865867039e-09,-1.87946825429461e-10,1.2964839545865e-17
"pH_avg",0.0026674689265357,0.0183700714416224,0.100944406906171,0.377869407268085,0.372043221558114,0.089667843615011,-0.136076722808231,0.0497276728401998,-0.047448987585782,-0.0684399587884239,0.264040488395791,0.427699145149889,0.411961285641993,0.0172551374843081,-0.0376533630786347,0.0121474920462503,0.136732480125501,0.00500995350790992,0.0436976813379629,0.0123931991348872,-0.420058660354733,-0.0365843231200552,0.198903909461084,-0.0950684251274175,0.0301198345492825,-1.07159170533559e-09,1.53411050873804e-09,-1.96529814118454e-16
"org_avg",-0.0115193557134083,0.0559696427912353,-0.0388497282030904,0.209160531881243,0.488970487212188,0.078808239552391,0.240399204622907,-0.0841634447062922,0.170460321378185,0.268784981348904,-0.164539317556847,-0.46557414541277,-0.278263375643078,0.0332940390546206,0.0747737766680183,0.00503721696571987,-0.196669747653991,0.0914660722703551,-0.00187384677159682,0.089926061902774,-0.309548329797587,-0.10810328593772,0.194659138425751,-0.106904982568662,0.00681916351622594,8.9427409900681e-09,2.34150682745534e-09,-7.97004966966023e-17
"Franco",-0.00348171253852236,-0.0113101714239616,0.0970043164103649,0.54641798302782,0.12486715236048,0.165102524543604,-0.114605216341669,0.136888214408261,-0.0356654323459454,0.163565591655988,-0.037365087830176,-0.0482252607861746,-0.038369016917651,-0.0876254717324824,-0.0254798845550024,-0.0329022546121569,-0.104276020206899,-0.00972285602882457,-0.0493447176273304,-0.122844896015743,0.336851017731455,0.575816001546812,-0.309012216282695,-0.0131772589707224,-0.0730460346338905,3.06930216254967e-09,-1.28698742115939e-09,2.27239706102423e-16
"Arcilloso",-0.00615468925744591,-0.0196179492370212,-0.112134410807087,-0.279174000149142,0.299668992455507,0.125005207791961,-0.44794498474263,0.0692689943643609,-0.322982949917914,-0.0662361156438468,-0.0277655442310074,0.286550028581997,-0.478630811409894,-0.261689789502045,-0.0517247074710897,-0.0634515561031336,-0.293402747001121,0.0609027650563622,-0.0687113699640816,0.0181662302086689,-0.0716456860860598,0.0245600056023112,0.0312806390649576,-0.0275865501870048,0.00230693135157891,4.28934047373464e-09,3.44610331289003e-09,1.52228970517301e-17
"Limoso",0.00498019468203789,-0.0758620058183349,0.122480874178958,0.486322451162004,-0.21324451852747,0.162302243392707,-0.222021080587617,0.154615482481666,-0.10926290921667,0.0405133314647389,-0.119872253136296,-0.0216760278479692,-0.240516681032122,-0.0502998123363531,-0.042560601375335,0.00291975224156632,0.137240938443201,-0.114725871154775,0.0503411745922239,0.149020583691661,0.169721071201903,-0.613499197483011,0.0591189379571043,0.192132710702677,0.0688644554883043,-1.79110083712753e-08,2.58771089387501e-09,-9.10490477038219e-17
"Arenoso",0.0120026037343382,-0.0197397166492436,0.0187585515806582,0.0618305415988711,0.0308557367072889,-0.223302191443993,0.618896622384174,0.147053951607292,-0.538375972777275,0.235965619818213,0.280436339040833,0.232331102490844,-0.228157784623186,0.0214038574026616,0.0160364318795231,0.026810716755091,0.0138835113167767,-0.0420719293722037,0.00859807112419114,0.00872412451736442,0.0671858283426344,-0.0259237606549308,-0.00896515463961519,0.0215775910510654,0.01821918045552,-4.44633855812198e-10,-2.65821520953299e-09,-7.45951163069882e-17
"Cascajoso",0.000908965637376153,0.0850608521720677,-0.102621707850558,-0.196392896987741,0.606190249777651,0.0818083065635287,0.0323819395231697,-0.183336816726734,0.0896769516857046,0.0570465895219061,0.0904215770914432,0.0396578523998995,0.159461636963889,0.0105883213413863,-0.0387279186046896,0.0542737248048542,0.204350152263039,-0.147545663336971,0.0371876930619765,0.0821298772283483,0.501420434795381,-0.230916440712414,-0.218532446577819,0.239000096696234,0.0503216929627153,-6.31029630962187e-09,-8.54141392155604e-10,6.95434865238005e-17
"Aroma.Fragancia",-0.310264397596533,-0.0397290971570965,-0.0860776918780071,0.0384322587721649,-0.000672779701612083,-0.133541166108306,-0.0756875679703449,-0.0433926245581689,-0.018135816097219,0.10475911081122,0.0682784362380556,-0.00627385924716803,0.0742296340887665,-0.142483287703095,0.602778621600012,-0.577844192514184,0.136527676272146,0.110315773081144,-0.270450559968621,0.0692307148277259,0.0308826971353527,-0.0262345029591021,0.0340946840468199,0.0974728028002516,-0.0463557443054368,5.69025577365008e-09,-3.86877410448247e-09,-0.0745906790040289
"Acidez",-0.352596434880613,-0.057045159793431,-0.0731949755307424,0.0334529368260917,0.0135003069066963,-0.127520553118618,-0.0738179211465404,-0.059395752100341,-0.0276625385518749,0.044142775892928,0.032706775686282,-0.00941128765085242,0.0385341057954252,-0.0254496573203374,-0.0109714019312143,0.218922527959531,-0.0881643305534402,-0.284853671750401,0.0365432548373491,-0.0542554517153965,0.0774481719336912,-0.115912757192681,0.101854905571283,-0.198884116893855,-0.785876206524723,-7.39828490475337e-09,-1.52747784145873e-08,-0.0794597822111119
"Cuerpo",-0.348593503916461,-0.0700400614918579,-0.0626565797439069,0.0454532953099358,-0.00658029618611036,-0.126941099449338,-0.099964760113699,-0.086921594706065,-0.0252560056337394,0.041720936044211,0.0200548777575876,-0.0165322972920815,0.0333604533518344,-0.0107726163278975,0.0594529864855846,0.222671033654424,-0.0695088832782747,-0.143848391620878,0.0288198724607795,-0.0702017256442122,0.345983288394935,0.0943685123381177,0.487697445271444,-0.330995961931939,0.513748845681407,9.55785593405524e-10,1.79084249498788e-08,-0.0724006305719771
"Sabor",-0.351302885336042,-0.072265970453555,-0.0182324271408692,0.0254643848842897,-0.00648322055941884,-0.164388947191509,-0.0702746252658175,-0.0592140558780125,-0.0410101674558622,0.0461278935423654,-0.00794721338576584,-0.0336042896011997,0.0191555931301221,-0.00229094667293125,-0.0156603971322955,0.0616477253783894,-0.0610499791515458,-0.143712117769113,0.0764816719010083,0.0661745247824338,-0.272029988483595,-0.176688976177832,-0.708038072867406,-0.316643817292406,0.279225581870017,8.55235262415072e-10,5.18130086454946e-09,-0.0779508278815093
"SaborResidual",-0.346367736722418,-0.0702397119797485,-0.0579823900247861,0.0419382783256552,-0.00106731561527948,-0.171081365753805,-0.0757716933114169,-0.0524562858683804,-0.0209747230294851,0.0333283803144575,-0.0139585253182727,-0.0398785478191284,-0.0213350932849157,0.0177369876764623,0.000490443451182598,0.298170298199212,-0.0700332457963521,-0.0769865414231476,0.0621795159507212,-0.0710996692798542,-0.253179719717617,0.189245596437776,0.0344325483889166,0.777167575526591,0.0961625661466288,-3.83344564449613e-09,6.56797210030198e-09,-0.071494161714516
"Dulzor",-0.145676301232876,-0.158928064228917,0.294255956493162,-0.138983914344399,0.00137386054966753,0.4277148281388,0.169006240593148,0.145312916384176,0.0479842956381676,-0.0949510070098759,0.00192018141171075,0.0908774831884694,0.0412396443788151,-0.0672845138320759,0.448262773374926,0.218978070963797,-0.155993794088407,0.277458177898515,0.424233718687108,-0.0438889991553377,0.0709531298592851,-0.0566509906303416,-0.0585163928896249,-0.00131267180222519,-0.0326748886610097,-7.69255574600243e-10,1.40454596666765e-10,-0.210575741368286
"Uniformidad",-0.0749068759874254,-0.0826724376810923,0.414145664280491,-0.13223600900059,-0.0231855203869234,-0.00575435221615691,-0.130146447475385,-0.0259627093709306,0.181894767182242,0.198915888676908,0.482864136385485,-0.160747479630186,-0.219052475948373,-0.186641892495327,-0.188180351591495,0.183996232181625,0.340288827835358,0.230555571424786,-0.286297598961031,0.0177207566218287,-0.0294161857067388,0.0294338875551418,-0.00125360492768926,-0.0481231429503408,-0.0249921456935215,5.61816622521401e-09,-1.72781365210961e-09,-0.201805869565266
"Balance",-0.235745102242311,-0.0756887011114471,-0.237120190965568,0.0405623021359663,0.0314018919575437,0.223740221873956,0.193461522403994,0.0383916612778708,-0.172150263358512,-0.202472835756683,-0.412677782230816,0.0868440935543156,0.0565976514666552,0.0451811989387126,-0.123071381254879,0.250536199807545,0.289240329337658,0.333655529417826,-0.458351434358168,0.158530696373837,0.000322659589253258,0.0362382608126919,-0.0259858718361614,-0.0618964458664829,-0.0361647773460164,9.63787629882295e-09,-8.40170088796243e-09,-0.148020593271925
"TazaLimpia",-0.171578507584458,-0.165986605292434,0.305352907678306,-0.145274632047339,0.0336288805087883,0.320378674506208,0.221250386387468,0.107055993482689,0.0703503636418942,-0.112019732616138,-0.0838739451675717,0.0246782268485977,0.00194071941085394,0.0794034743432424,-0.247075521397399,-0.367222815956108,-0.114972599017368,-0.530322234498898,-0.203836777387478,-0.014172962122148,-0.0692113812778798,0.0572916441339988,0.0797888382194441,0.062625091733756,0.0644011749140774,1.15505195963713e-10,1.21983754024991e-09,-0.280018032524987
"PuntajeCatador",-0.319677842094813,-0.0864322275142756,-0.0150539767314087,0.0172036485635444,0.0340880533440947,-0.122321975009364,-0.0203771665081521,-0.024640833458271,0.0147861559142445,0.0533297839563715,-0.0313906852075918,0.0428729566004746,-0.0266521002319413,0.231708806814843,-0.479060282837402,-0.415679855281173,0.0101229498067418,0.454825588568911,0.414398120686006,-0.00523899910064392,0.115131792665088,-0.00942928074608228,0.0623314430967942,0.018379790495229,-0.0612802825993195,-2.40631392968154e-09,2.17461154309979e-09,-0.100236499099892
"PuntajeTotal",-0.328381653000494,-0.158581125060386,0.195330905168099,-0.0852440329304766,0.0148191311247817,0.164738995159181,0.0774393363638697,0.04078618521005,0.0368146695416467,-0.0176190476415348,0.0200418758849226,0.00326427133248751,-0.0207598193823382,-0.0136503065144115,-0.0360885874608282,-0.00865962296635239,0.0406755756592786,0.0112416295607513,-0.064246094453627,0.0103870005524582,-0.00520565594075772,0.011229883764936,0.00611122789297215,-0.00157556969540938,-0.00618900702968562,1.90379671696254e-09,-9.77991751956641e-11,0.881054750520903
